probe,activation_site,layer,solver,roles,accuracy,balanced_accuracy,nll,uniform_nll,nll_beats_uniform,n_train_tokens,n_test_tokens,tokens_per_train_class,tokens_per_test_class,n_iter,converged,warnings,coefficient_norms,coefficients_finite
pilot_binary,pre_mlp,8,cuml_exact_prior,user|assistant,0.9989293361884368,0.9989293361884368,0.04702355807601826,0.6931471805599453,True,3666,934,1833,467,72,True,[],[1.497472882270813],True
pilot_binary,pre_mlp,8,sklearn_standardized,user|assistant,1.0,1.0,0.027664382002228094,0.6931471805599453,True,3666,934,1833,467,31,True,[],[2.1288678646087646],True
pilot_binary,pre_mlp,10,cuml_exact_prior,user|assistant,0.9914346895074947,0.9914346895074946,0.06418828676085854,0.6931471805599453,True,3666,934,1833,467,84,True,[],[1.493232250213623],True
pilot_binary,pre_mlp,10,sklearn_standardized,user|assistant,0.9914346895074947,0.9914346895074946,0.048441192146844274,0.6931471805599453,True,3666,934,1833,467,36,True,[],[1.9278624057769775],True
pilot_binary,pre_mlp,12,cuml_exact_prior,user|assistant,0.9914346895074947,0.9914346895074946,0.06480935782065202,0.6931471805599453,True,3666,934,1833,467,92,True,[],[1.4686092138290405],True
pilot_binary,pre_mlp,12,sklearn_standardized,user|assistant,0.9946466809421841,0.9946466809421841,0.0545369145705531,0.6931471805599453,True,3666,934,1833,467,37,True,[],[1.7986005544662476],True
pilot_binary,pre_mlp,14,cuml_exact_prior,user|assistant,1.0,1.0,0.023524302988826497,0.6931471805599453,True,3666,934,1833,467,105,True,[],[1.211650013923645],True
pilot_binary,pre_mlp,14,sklearn_standardized,user|assistant,1.0,1.0,0.01901225256045396,0.6931471805599453,True,3666,934,1833,467,20,True,[],[1.3707226514816284],True
pilot_binary,pre_mlp,16,cuml_exact_prior,user|assistant,0.9978586723768736,0.9978586723768736,0.022849057663239428,0.6931471805599453,True,3666,934,1833,467,100,True,[],[0.986029326915741],True
pilot_binary,pre_mlp,16,sklearn_standardized,user|assistant,0.9989293361884368,0.9989293361884368,0.019213108946393637,0.6931471805599453,True,3666,934,1833,467,15,True,[],[1.1951789855957031],True
pilot_binary,pre_mlp,18,cuml_exact_prior,user|assistant,0.9957173447537473,0.9957173447537473,0.023514315597895796,0.6931471805599453,True,3666,934,1833,467,99,True,[],[0.9606107473373413],True
pilot_binary,pre_mlp,18,sklearn_standardized,user|assistant,0.9946466809421841,0.9946466809421841,0.0190137483772313,0.6931471805599453,True,3666,934,1833,467,25,True,[],[1.2014925479888916],True
pilot_binary,block_output,8,cuml_exact_prior,user|assistant,0.9839400428265525,0.9839400428265526,0.04943967754153477,0.6931471805599453,True,3666,934,1833,467,364,True,[],[0.41124123334884644],True
pilot_binary,block_output,8,sklearn_standardized,user|assistant,0.9978586723768736,0.9978586723768736,0.034939125080240115,0.6931471805599453,True,3666,934,1833,467,32,True,[],[0.2843242287635803],True
pilot_binary,block_output,10,cuml_exact_prior,user|assistant,0.9635974304068522,0.9635974304068522,0.10970872065404469,0.6931471805599453,True,3666,934,1833,467,377,True,[],[0.3194698989391327],True
pilot_binary,block_output,10,sklearn_standardized,user|assistant,0.9882226980728052,0.988222698072805,0.0559328874927238,0.6931471805599453,True,3666,934,1833,467,23,True,[],[0.15120366215705872],True
pilot_binary,block_output,12,cuml_exact_prior,user|assistant,0.9785867237687366,0.9785867237687367,0.08002961580478664,0.6931471805599453,True,3666,934,1833,467,415,True,[],[0.25846388936042786],True
pilot_binary,block_output,12,sklearn_standardized,user|assistant,0.9914346895074947,0.9914346895074946,0.0593445099269049,0.6931471805599453,True,3666,934,1833,467,40,True,[],[0.0932621881365776],True
pilot_binary,block_output,14,cuml_exact_prior,user|assistant,0.9946466809421841,0.9946466809421841,0.00929257974340758,0.6931471805599453,True,3666,934,1833,467,283,True,[],[0.14150825142860413],True
pilot_binary,block_output,14,sklearn_standardized,user|assistant,0.9978586723768736,0.9978586723768736,0.026175406818506587,0.6931471805599453,True,3666,934,1833,467,26,True,[],[0.04825451225042343],True
pilot_binary,block_output,16,cuml_exact_prior,user|assistant,0.9967880085653105,0.9967880085653105,0.007597286566989506,0.6931471805599453,True,3666,934,1833,467,256,True,[],[0.06853441148996353],True
pilot_binary,block_output,16,sklearn_standardized,user|assistant,0.9925053533190579,0.9925053533190578,0.02776320698990179,0.6931471805599453,True,3666,934,1833,467,29,True,[],[0.024008359760046005],True
pilot_binary,block_output,18,cuml_exact_prior,user|assistant,0.9957173447537473,0.9957173447537473,0.02018718240647948,0.6931471805599453,True,3666,934,1833,467,269,True,[],[0.044744618237018585],True
pilot_binary,block_output,18,sklearn_standardized,user|assistant,0.9914346895074947,0.9914346895074946,0.023225801281201372,0.6931471805599453,True,3666,934,1833,467,25,True,[],[0.014672609977424145],True
pilot_plus_tool,pre_mlp,8,cuml_exact_prior,user|assistant|tool,0.9571734475374732,0.9571734475374732,0.1538647070637222,1.0986122886681098,True,5499,1401,1833,467,181,True,[],"[1.4005224704742432, 1.4094706773757935, 1.3607484102249146]",True
pilot_plus_tool,pre_mlp,8,sklearn_standardized,user|assistant|tool,0.9500356887937188,0.9500356887937187,0.13009611192926657,1.0986122886681098,True,5499,1401,1833,467,47,True,[],"[1.9871786832809448, 2.011427402496338, 2.005361318588257]",True
pilot_plus_tool,pre_mlp,10,cuml_exact_prior,user|assistant|tool,0.9357601713062098,0.9357601713062098,0.2070220092542839,1.0986122886681098,True,5499,1401,1833,467,174,True,[],"[1.416157841682434, 1.4138693809509277, 1.3305186033248901]",True
pilot_plus_tool,pre_mlp,10,sklearn_standardized,user|assistant|tool,0.9329050678087081,0.9329050678087082,0.19596928533345537,1.0986122886681098,True,5499,1401,1833,467,54,True,[],"[1.8331860303878784, 1.8257266283035278, 1.7570008039474487]",True
pilot_plus_tool,pre_mlp,12,cuml_exact_prior,user|assistant|tool,0.913633119200571,0.913633119200571,0.2520761966012764,1.0986122886681098,True,5499,1401,1833,467,200,True,[],"[1.4252700805664062, 1.4058265686035156, 1.3106286525726318]",True
