activation_site,layer,metric,bootstrap_unit,replicates,estimate,ci_low,ci_high
pre_mlp,8,absolute_axis_pc1_cosine,persona,200,0.47936001186742966,0.027525453186904372,0.7817543415143446
pre_mlp,8,axis_norm,persona,200,3.5400249435065483,2.8876529996608786,5.187647488994749
pre_mlp,9,absolute_axis_pc1_cosine,persona,200,0.0890080272933806,0.026756899335736266,0.7254200629086817
pre_mlp,9,axis_norm,persona,200,4.238854953316427,3.4630973621401195,6.011616306119541
pre_mlp,10,absolute_axis_pc1_cosine,persona,200,0.07212837142705579,0.0082031743638372,0.6510737515524738
pre_mlp,10,axis_norm,persona,200,4.394696848723892,3.786446711818602,6.363641999067263
pre_mlp,11,absolute_axis_pc1_cosine,persona,200,0.11080421131715575,0.01340316826255846,0.6401124843153053
pre_mlp,11,axis_norm,persona,200,4.961082210488998,4.27777377468316,7.217907522113342
pre_mlp,12,absolute_axis_pc1_cosine,persona,200,0.11256756351149946,0.016086062355896456,0.7141223882062211
pre_mlp,12,axis_norm,persona,200,5.31630722899908,4.592252457502842,7.483935781295983
pre_mlp,13,absolute_axis_pc1_cosine,persona,200,0.14670208695009404,0.04429285133533984,0.7286073070272474
pre_mlp,13,axis_norm,persona,200,5.981150897174761,5.138622629149342,8.987418916262415
pre_mlp,14,absolute_axis_pc1_cosine,persona,200,0.19686004883595673,0.04548489026577853,0.7562571478406038
pre_mlp,14,axis_norm,persona,200,6.489667085902092,5.256671732861707,9.135126944795548
pre_mlp,15,absolute_axis_pc1_cosine,persona,200,0.6710442767303937,0.09087076855097878,0.776529551886826
pre_mlp,15,axis_norm,persona,200,6.867416594873371,5.145621459738517,10.130027669869415
pre_mlp,16,absolute_axis_pc1_cosine,persona,200,0.6421824124196923,0.0436250358585935,0.7944771109806809
pre_mlp,16,axis_norm,persona,200,6.398300566089554,4.932903380683724,9.243060565901274
pre_mlp,17,absolute_axis_pc1_cosine,persona,200,0.7382989532614986,0.05737907374736296,0.8083176652065859
pre_mlp,17,axis_norm,persona,200,7.110237466201639,5.513812369733968,9.870196559303498
pre_mlp,18,absolute_axis_pc1_cosine,persona,200,0.7754948598073352,0.05952950455013176,0.8466046836714398
pre_mlp,18,axis_norm,persona,200,7.125688745429664,5.139629676408944,10.533577259389428
pre_mlp,19,absolute_axis_pc1_cosine,persona,200,0.7641436572644881,0.03157088048876368,0.8224928278521401
pre_mlp,19,axis_norm,persona,200,6.913279231360894,5.2739916226047345,10.135849850287581
pre_mlp,20,absolute_axis_pc1_cosine,persona,200,0.7761868082593978,0.03313202319058453,0.8416310167419432
pre_mlp,20,axis_norm,persona,200,6.692541969359576,5.008323508136558,10.044256364685674
block_output,8,absolute_axis_pc1_cosine,persona,200,0.6258617624057263,0.03355237853686602,0.7411362337161224
block_output,8,axis_norm,persona,200,59.047705708896146,48.27974437410899,84.964842197753
block_output,9,absolute_axis_pc1_cosine,persona,200,0.04696559989259095,0.027277715442040374,0.702741648917258
block_output,9,axis_norm,persona,200,77.38822410516495,66.13009992984739,113.99880127469432
block_output,10,absolute_axis_pc1_cosine,persona,200,0.0039896960633619164,0.018023234760678585,0.7171709535043014
block_output,10,axis_norm,persona,200,95.92931237728158,81.13555643625847,130.19199815432222
block_output,11,absolute_axis_pc1_cosine,persona,200,0.03480632229861877,0.03145364397346617,0.7228362612034626
block_output,11,axis_norm,persona,200,112.47088599331838,96.47843481543792,158.6426799713519
block_output,12,absolute_axis_pc1_cosine,persona,200,0.024180807275078837,0.015183603284257548,0.6794711574001591
block_output,12,axis_norm,persona,200,134.65451175929454,108.16470586863889,193.00502847225124
block_output,13,absolute_axis_pc1_cosine,persona,200,0.0886688130939407,0.01949544777829344,0.7412005474281117
block_output,13,axis_norm,persona,200,170.89090061127033,144.86132631226087,260.6721725986404
block_output,14,absolute_axis_pc1_cosine,persona,200,0.47891606647489093,0.05586872163572795,0.7275588815468194
block_output,14,axis_norm,persona,200,209.6586234336747,167.7520156523026,291.8473012962171
block_output,15,absolute_axis_pc1_cosine,persona,200,0.6928592774298296,0.057466018491423604,0.8341937223589212
block_output,15,axis_norm,persona,200,276.78077618788717,212.8622150742589,399.1316265427814
block_output,16,absolute_axis_pc1_cosine,persona,200,0.675798491420575,0.05941531115384465,0.7923664274652911
block_output,16,axis_norm,persona,200,347.3531132470602,261.2561559332544,485.02072162161784
block_output,17,absolute_axis_pc1_cosine,persona,200,0.7662168175838028,0.0526421149847728,0.8242022451824583
block_output,17,axis_norm,persona,200,525.0817543786329,400.438319891603,750.2457518998582
block_output,18,absolute_axis_pc1_cosine,persona,200,0.7617724773901128,0.1056178507937091,0.8407805254187215
block_output,18,axis_norm,persona,200,702.7169720674428,536.92081019139,1054.875180605993
block_output,19,absolute_axis_pc1_cosine,persona,200,0.775765680707278,0.12800546252103062,0.8475136444695622
block_output,19,axis_norm,persona,200,877.3475774483056,650.8504580861992,1323.667011853266
block_output,20,absolute_axis_pc1_cosine,persona,200,0.7780247323407672,0.02749626504733935,0.8649055945176664
block_output,20,axis_norm,persona,200,1066.1031605518742,779.9536235918432,1610.312880394263
