activation_site,layer,comparison,angle_index,angle_degrees
pre_mlp,8,persona_pc1_pc3_vs_role_probe_subspace,0,85.35811167013829
pre_mlp,8,assistant_axis_vs_role_probe_subspace,0,87.42025979782899
pre_mlp,10,persona_pc1_pc3_vs_role_probe_subspace,0,86.05386467688515
pre_mlp,10,assistant_axis_vs_role_probe_subspace,0,87.66329816145334
pre_mlp,12,persona_pc1_pc3_vs_role_probe_subspace,0,84.4524161916211
pre_mlp,12,persona_pc1_pc3_vs_role_probe_subspace,1,87.52790581986463
pre_mlp,12,persona_pc1_pc3_vs_role_probe_subspace,2,88.45118757231256
pre_mlp,12,assistant_axis_vs_role_probe_subspace,0,86.937973528284
pre_mlp,14,persona_pc1_pc3_vs_role_probe_subspace,0,84.9328701485991
pre_mlp,14,assistant_axis_vs_role_probe_subspace,0,86.11355911502578
pre_mlp,16,persona_pc1_pc3_vs_role_probe_subspace,0,82.73374262988968
pre_mlp,16,persona_pc1_pc3_vs_role_probe_subspace,1,87.92633776515346
pre_mlp,16,persona_pc1_pc3_vs_role_probe_subspace,2,89.48370466145634
pre_mlp,16,assistant_axis_vs_role_probe_subspace,0,83.77936014949279
pre_mlp,18,persona_pc1_pc3_vs_role_probe_subspace,0,82.1080466185797
pre_mlp,18,assistant_axis_vs_role_probe_subspace,0,82.93520845661699
block_output,8,persona_pc1_pc3_vs_role_probe_subspace,0,88.13823477915517
block_output,8,assistant_axis_vs_role_probe_subspace,0,89.11062772557695
block_output,10,persona_pc1_pc3_vs_role_probe_subspace,0,87.65009025259384
block_output,10,assistant_axis_vs_role_probe_subspace,0,88.87066290068799
block_output,12,persona_pc1_pc3_vs_role_probe_subspace,0,85.53677897139222
block_output,12,persona_pc1_pc3_vs_role_probe_subspace,1,87.73277056043932
block_output,12,persona_pc1_pc3_vs_role_probe_subspace,2,88.09875013367817
block_output,12,assistant_axis_vs_role_probe_subspace,0,87.3195441193285
block_output,14,persona_pc1_pc3_vs_role_probe_subspace,0,86.00550750793617
block_output,14,assistant_axis_vs_role_probe_subspace,0,87.19505367260733
block_output,16,persona_pc1_pc3_vs_role_probe_subspace,0,83.20613008805655
block_output,16,persona_pc1_pc3_vs_role_probe_subspace,1,87.87898685891302
block_output,16,persona_pc1_pc3_vs_role_probe_subspace,2,89.66677662589241
block_output,16,assistant_axis_vs_role_probe_subspace,0,84.99870656561234
block_output,18,persona_pc1_pc3_vs_role_probe_subspace,0,84.40070162997637
block_output,18,assistant_axis_vs_role_probe_subspace,0,84.8380130166716
