activation_site,layer,persona,family,condition,axis_projection
pre_mlp,8,anarchist,spiritual_adversarial,persona,-0.8396673649083887
pre_mlp,8,bartender,ordinary_occupation,persona,-0.8963027846386937
pre_mlp,8,comedian,theatrical_fictional,persona,-4.7680679992580455
pre_mlp,8,consultant,helpful_professional,persona,1.1644076286274847
pre_mlp,8,devils_advocate,spiritual_adversarial,persona,-1.986869169513233
pre_mlp,8,engineer,ordinary_occupation,persona,1.5782462784318594
pre_mlp,8,genie,theatrical_fictional,persona,-3.7084486292148915
pre_mlp,8,librarian,ordinary_occupation,persona,1.0093063044341763
pre_mlp,8,mediator,helpful_professional,persona,0.2167851149162765
pre_mlp,8,mystic,spiritual_adversarial,persona,-2.823915858771443
pre_mlp,8,pirate,theatrical_fictional,persona,-3.1012396805354516
pre_mlp,8,tutor,helpful_professional,persona,1.3118700642923136
pre_mlp,8,default_assistant,default,default,2.469700260094541
pre_mlp,9,anarchist,spiritual_adversarial,persona,-0.8884003300421679
pre_mlp,9,bartender,ordinary_occupation,persona,-0.8308305742659823
pre_mlp,9,comedian,theatrical_fictional,persona,-4.404938688384137
pre_mlp,9,consultant,helpful_professional,persona,2.287263811552729
pre_mlp,9,devils_advocate,spiritual_adversarial,persona,-1.5550557739464246
pre_mlp,9,engineer,ordinary_occupation,persona,2.6443475338532876
pre_mlp,9,genie,theatrical_fictional,persona,-3.1013637309390205
pre_mlp,9,librarian,ordinary_occupation,persona,1.5855525663068089
pre_mlp,9,mediator,helpful_professional,persona,0.8438619522104324
pre_mlp,9,mystic,spiritual_adversarial,persona,-2.7248712865002793
pre_mlp,9,pirate,theatrical_fictional,persona,-2.633736675852178
pre_mlp,9,tutor,helpful_professional,persona,2.357910138922204
pre_mlp,9,default_assistant,default,default,3.703833186046568
pre_mlp,10,anarchist,spiritual_adversarial,persona,-1.2620162732283993
pre_mlp,10,bartender,ordinary_occupation,persona,-1.309131309007323
pre_mlp,10,comedian,theatrical_fictional,persona,-4.58955495204466
pre_mlp,10,consultant,helpful_professional,persona,1.875785666632304
pre_mlp,10,devils_advocate,spiritual_adversarial,persona,-2.0225186177787466
pre_mlp,10,engineer,ordinary_occupation,persona,2.300382693686543
pre_mlp,10,genie,theatrical_fictional,persona,-3.2014643478481783
pre_mlp,10,librarian,ordinary_occupation,persona,1.1243681830201435
pre_mlp,10,mediator,helpful_professional,persona,0.347253225810796
pre_mlp,10,mystic,spiritual_adversarial,persona,-3.1159565202953576
pre_mlp,10,pirate,theatrical_fictional,persona,-2.5275225518134965
pre_mlp,10,tutor,helpful_professional,persona,2.0823628239934298
pre_mlp,10,default_assistant,default,default,3.5365291603809657
pre_mlp,11,anarchist,spiritual_adversarial,persona,-2.1691458723955828
pre_mlp,11,bartender,ordinary_occupation,persona,-1.7074014200825718
pre_mlp,11,comedian,theatrical_fictional,persona,-5.1888390760383665
pre_mlp,11,consultant,helpful_professional,persona,1.7695574245301517
pre_mlp,11,devils_advocate,spiritual_adversarial,persona,-2.518862876022858
pre_mlp,11,engineer,ordinary_occupation,persona,2.089409298734576
pre_mlp,11,genie,theatrical_fictional,persona,-3.476518245275364
pre_mlp,11,librarian,ordinary_occupation,persona,0.7578837544829662
pre_mlp,11,mediator,helpful_professional,persona,-0.25757081862467635
pre_mlp,11,mystic,spiritual_adversarial,persona,-3.807485160916373
pre_mlp,11,pirate,theatrical_fictional,persona,-3.0315054647606834
pre_mlp,11,tutor,helpful_professional,persona,1.986430346491814
pre_mlp,11,default_assistant,default,default,3.6649115243375636
pre_mlp,12,anarchist,spiritual_adversarial,persona,-2.2276886608334334
pre_mlp,12,bartender,ordinary_occupation,persona,-1.485299156708065
pre_mlp,12,comedian,theatrical_fictional,persona,-6.130197528664086
pre_mlp,12,consultant,helpful_professional,persona,2.0211187435628917
