activation_site,layer,role_probe,assistant_axis_cosine
pre_mlp,8,user,0.04500974912947855
pre_mlp,8,assistant,-0.04500974912947855
pre_mlp,8,assistant_vs_other_roles,-0.04500974912947855
pre_mlp,10,user,0.04077183613472918
pre_mlp,10,assistant,-0.04077183613472918
pre_mlp,10,assistant_vs_other_roles,-0.04077183613472918
pre_mlp,12,system,-0.007310044043796776
pre_mlp,12,user,0.04583564700343836
pre_mlp,12,cot,-0.032933179939160805
pre_mlp,12,assistant,-0.0063441548806697215
pre_mlp,12,assistant_vs_other_roles,-0.006344155121047321
pre_mlp,14,user,0.06777918558023284
pre_mlp,14,assistant,-0.06777918558023284
pre_mlp,14,assistant_vs_other_roles,-0.06777918558023284
pre_mlp,16,system,-0.03103652848763649
pre_mlp,16,user,0.10670713735795379
pre_mlp,16,cot,-0.01453262216126721
pre_mlp,16,assistant,-0.04417151607541675
pre_mlp,16,assistant_vs_other_roles,-0.044171516170183285
pre_mlp,18,user,0.12299166200045172
pre_mlp,18,assistant,-0.12299166200045172
pre_mlp,18,assistant_vs_other_roles,-0.12299166200045172
block_output,8,user,0.015521851122647663
block_output,8,assistant,-0.015521851122647663
block_output,8,assistant_vs_other_roles,-0.015521851122647663
block_output,10,user,0.019709374476033967
block_output,10,assistant,-0.019709374476033967
block_output,10,assistant_vs_other_roles,-0.019709374476033967
block_output,12,system,-0.00739702692224088
block_output,12,user,0.03638843464674064
block_output,12,cot,-0.02063545341180345
block_output,12,assistant,-0.009580740348578991
block_output,12,assistant_vs_other_roles,-0.00958073998850357
block_output,14,user,0.048935996246551844
block_output,14,assistant,-0.048935996246551844
block_output,14,assistant_vs_other_roles,-0.048935996246551844
block_output,16,system,-0.02570793228950836
block_output,16,user,0.08646758290703252
block_output,16,cot,-0.01974656486732257
block_output,16,assistant,-0.02546322888210157
block_output,16,assistant_vs_other_roles,-0.025463228890547262
block_output,18,user,0.08997183850509574
block_output,18,assistant,-0.08997183850509574
block_output,18,assistant_vs_other_roles,-0.08997183850509574
