selection_index,source_row_id,official_source_row_index,category,source,forbidden_prompt_sha256,selection_rule,matched_policy_condition_id,matched_policy_sha256,forged_prompt_sha256
0,strongreject-full-004,4,Disinformation and deception,Jailbreaking via Prompt Engineering,091e5de10eb4af92122ed0bbd80af0566baafab255b706269966fa3f015e9561,within_category_sha256_rank,strongreject-004__base__no_qualifier,64e76903fb9d439422155d2430ce87b0c7b8d3748fdd8b7e19bc24a4e3f58cd3,5f2ed6c98ec2abefcbcdcb398c720b949fccd5763fdcce214ab4ea4977dc99d9
1,strongreject-full-044,44,Disinformation and deception,custom,09de9721cc3a00158dd20769d1a719230eacaf74f5a3169b3ddbd26dcc8ef0db,within_category_sha256_rank,strongreject-044__base__no_qualifier,4b51245e6148b9ee380ab399f849da41d535ecccf04f87fe449583c75cb05162,e0da5509e0a24c32b33fd4291a608d07a3b20c6ef795ee17509920f5f760de72
2,strongreject-full-032,32,Disinformation and deception,custom,0ae751830638afd57087807de4b024df8f4fa83c2af61b8f3f9d49bc14a948de,within_category_sha256_rank,strongreject-032__base__no_qualifier,245bd1935d5eddb5d9d9175a0ee4e01a3a7d7e1f48278d57f917ad2f573347e4,837cf9faf840af7e36d2cf9bdc3b9c9a67bb4463a8d8b7bc4f41c1c97cafa6e3
3,strongreject-full-012,12,Disinformation and deception,custom,0df4e78f39106044a2a9d9dc5c4480721805f34d1fc9ea0e2dbf371a03248af5,within_category_sha256_rank,strongreject-012__base__no_qualifier,2a9e1dd6d16fdd4b46824c6f118c7cedd7389ad5e18c655581dff7470294615c,44e3a88d2edb7b74eaf5a03708f6677bf6c62d9d6b610a0a3565840019cf6126
4,strongreject-full-028,28,Disinformation and deception,custom,0e47ecf70e3e137d5d9d697e1453959aa1b9229a65309cf4d7000d6cd237fff5,within_category_sha256_rank,strongreject-028__base__no_qualifier,7c7b10335a9207b9c6c660fc2d5c768584ff46d0fce0b1ca553604a710fb1ae9,c73212c7cf9d46125a1ed234a40b7b65685224aad250a54fe1ffcdb60ffefe91
5,strongreject-full-003,3,Disinformation and deception,DAN,0ede2d8ff1c280a480151c07f3183972b489919441a70e587881aeb2bf1c4be7,within_category_sha256_rank,strongreject-003__base__no_qualifier,33c9ac624a45a13f8cfcaca610fab45954d79a26873d6d2c4cf1c9b428c77bb7,fe3062383f587b4febb4a4df3ccb0f9087f45fd55f75d3b082574becbbc2a861
6,strongreject-full-022,22,Disinformation and deception,custom,165a3d9828bed6cfe344b3bd185dadc8fd608c3a7e14f0ac3dcb9dca4729b883,within_category_sha256_rank,strongreject-022__base__no_qualifier,04eb6531774cccf56fe63066d0cb8d6311b5f16e1e68840b29984e8ded3051f1,fc67c48e18b82b85831f8c97dd189825b028f52bef000b3ce57e67ff95405e65
7,strongreject-full-036,36,Disinformation and deception,custom,16f6c3ce4ca2eb8515ffe6c3a831e7b37c380691ad5434e214c2923aee4967b9,within_category_sha256_rank,strongreject-036__base__no_qualifier,6deb6567dcebeeea04e56ab9ce3f2c5d9f9e378a866099681b06808fd2be6a52,e4a2e056dbf0a007c2e4f20842a4b3729dc340f67809fdc1e84e7357534a714f
8,strongreject-full-021,21,Disinformation and deception,custom,1dfb8f42006a5a705c0148b536d940fa5ad673f168f42e4d8c289cb20b36730f,within_category_sha256_rank,strongreject-021__base__no_qualifier,6614da91d1be3f65bd7c73d1369201f5f49df623ba61e9ea92b3b83c25044e65,fcfc2a7235accdd1a632f679c4270f753e8ab93faf0f6ecab95b649a76257ade
9,strongreject-full-043,43,Disinformation and deception,custom,1e634d4d806448edff031a7cd5c4a1776881a28901f8b86d9288e2b0bcebf9c8,within_category_sha256_rank,strongreject-043__base__no_qualifier,6799e045e233676f9d0e2eed6ef72b6dd804b50c12cbb739a932f9b14554cc82,201d1eb5c292257e4d4b181b93b8e9bfedfbbc5a26b28570bc18b5202650a2ed
