construction,command,user_turn,layer,space,metric,mean,lo,hi,n,frac_first_higher
command,exfil,neutral,8,sucat,p_user,,,,1,0.0
command,exfil,neutral,8,uat,p_user,,,,1,0.0
command,exfil,neutral,12,sucat,p_user,,,,1,0.0
command,exfil,neutral,12,uat,p_user,,,,1,0.0
command,exfil,neutral,16,sucat,p_user,,,,1,0.0
command,exfil,neutral,16,uat,p_user,,,,1,0.0
command,exfil,permission,8,sucat,p_user,,,,1,0.0
command,exfil,permission,8,uat,p_user,,,,1,0.0
command,exfil,permission,12,sucat,p_user,,,,1,0.0
command,exfil,permission,12,uat,p_user,,,,1,0.0
command,exfil,permission,16,sucat,p_user,,,,1,0.0
command,exfil,permission,16,uat,p_user,,,,1,0.0
command,exfil,prohibition,8,sucat,p_user,,,,1,0.0
command,exfil,prohibition,8,uat,p_user,,,,1,0.0
command,exfil,prohibition,12,sucat,p_user,,,,1,0.0
command,exfil,prohibition,12,uat,p_user,,,,1,0.0
command,exfil,prohibition,16,sucat,p_user,,,,1,0.0
command,exfil,prohibition,16,uat,p_user,,,,1,0.0
command,marker,neutral,8,sucat,p_user,,,,1,0.0
command,marker,neutral,8,uat,p_user,,,,1,0.0
command,marker,neutral,12,sucat,p_user,,,,1,0.0
command,marker,neutral,12,uat,p_user,,,,1,0.0
command,marker,neutral,16,sucat,p_user,,,,1,0.0
command,marker,neutral,16,uat,p_user,,,,1,0.0
command,marker,permission,8,sucat,p_user,,,,1,0.0
command,marker,permission,8,uat,p_user,,,,1,0.0
command,marker,permission,12,sucat,p_user,,,,1,0.0
command,marker,permission,12,uat,p_user,,,,1,0.0
command,marker,permission,16,sucat,p_user,,,,1,0.0
command,marker,permission,16,uat,p_user,,,,1,0.0
command,marker,prohibition,8,sucat,p_user,,,,1,0.0
command,marker,prohibition,8,uat,p_user,,,,1,0.0
command,marker,prohibition,12,sucat,p_user,,,,1,0.0
command,marker,prohibition,12,uat,p_user,,,,1,0.0
command,marker,prohibition,16,sucat,p_user,,,,1,0.0
command,marker,prohibition,16,uat,p_user,,,,1,0.0
command,exfil,neutral,8,sucat,p_tool,,,,1,0.0
command,exfil,neutral,8,uat,p_tool,,,,1,0.0
command,exfil,neutral,12,sucat,p_tool,,,,1,0.0
command,exfil,neutral,12,uat,p_tool,,,,1,0.0
command,exfil,neutral,16,sucat,p_tool,,,,1,0.0
command,exfil,neutral,16,uat,p_tool,,,,1,0.0
command,exfil,permission,8,sucat,p_tool,,,,1,0.0
command,exfil,permission,8,uat,p_tool,,,,1,0.0
command,exfil,permission,12,sucat,p_tool,,,,1,0.0
command,exfil,permission,12,uat,p_tool,,,,1,0.0
command,exfil,permission,16,sucat,p_tool,,,,1,0.0
command,exfil,permission,16,uat,p_tool,,,,1,0.0
command,exfil,prohibition,8,sucat,p_tool,,,,1,0.0
command,exfil,prohibition,8,uat,p_tool,,,,1,0.0
command,exfil,prohibition,12,sucat,p_tool,,,,1,0.0
command,exfil,prohibition,12,uat,p_tool,,,,1,0.0
command,exfil,prohibition,16,sucat,p_tool,,,,1,0.0
