construction,span,command,user_turn,order,layer,space,metric,mean,lo,hi,n
command,slot1,exfil,neutral,A,8,sucat,p_user,0.015779729167259008,0.015779729167259008,0.015779729167259008,1
command,slot1,exfil,neutral,A,8,sucat,p_tool,0.24043063497262412,0.24043063497262412,0.24043063497262412,1
command,slot1,exfil,neutral,A,8,sucat,log_user_tool,-2.7237054756401426,-2.7237054756401426,-2.7237054756401426,1
command,slot1,exfil,neutral,A,8,uat,p_user,0.06335975928995453,0.06335975928995453,0.06335975928995453,1
command,slot1,exfil,neutral,A,8,uat,p_tool,0.9264339482197996,0.9264339482197996,0.9264339482197996,1
command,slot1,exfil,neutral,A,8,uat,log_user_tool,-2.6825138030486495,-2.6825138030486495,-2.6825138030486495,1
command,slot1,exfil,neutral,A,12,sucat,p_user,0.0336166085780562,0.0336166085780562,0.0336166085780562,1
command,slot1,exfil,neutral,A,12,sucat,p_tool,0.4300291421441514,0.4300291421441514,0.4300291421441514,1
command,slot1,exfil,neutral,A,12,sucat,log_user_tool,-2.548832731059366,-2.548832731059366,-2.548832731059366,1
command,slot1,exfil,neutral,A,12,uat,p_user,0.054353781061659216,0.054353781061659216,0.054353781061659216,1
command,slot1,exfil,neutral,A,12,uat,p_tool,0.8907890754644988,0.8907890754644988,0.8907890754644988,1
command,slot1,exfil,neutral,A,12,uat,log_user_tool,-2.7965934916734,-2.7965934916734,-2.7965934916734,1
command,slot1,exfil,neutral,A,16,sucat,p_user,0.9102347529813891,0.9102347529813891,0.9102347529813891,1
command,slot1,exfil,neutral,A,16,sucat,p_tool,0.07550560495888692,0.07550560495888692,0.07550560495888692,1
command,slot1,exfil,neutral,A,16,sucat,log_user_tool,2.4894956451859587,2.4894956451859587,2.4894956451859587,1
command,slot1,exfil,neutral,A,16,uat,p_user,0.911224515894886,0.911224515894886,0.911224515894886,1
command,slot1,exfil,neutral,A,16,uat,p_tool,0.08750960074716294,0.08750960074716294,0.08750960074716294,1
command,slot1,exfil,neutral,A,16,uat,log_user_tool,2.343040806666483,2.343040806666483,2.343040806666483,1
command,slot1,exfil,permission,A,8,sucat,p_user,0.016295191996013286,0.016295191996013286,0.016295191996013286,1
command,slot1,exfil,permission,A,8,sucat,p_tool,0.24375410246678064,0.24375410246678064,0.24375410246678064,1
command,slot1,exfil,permission,A,8,sucat,log_user_tool,-2.7052898456383696,-2.7052898456383696,-2.7052898456383696,1
command,slot1,exfil,permission,A,8,uat,p_user,0.06553984404404144,0.06553984404404144,0.06553984404404144,1
command,slot1,exfil,permission,A,8,uat,p_tool,0.9236695248572553,0.9236695248572553,0.9236695248572553,1
command,slot1,exfil,permission,A,8,uat,log_user_tool,-2.6456960868722446,-2.6456960868722446,-2.6456960868722446,1
command,slot1,exfil,permission,A,12,sucat,p_user,0.03121112750773509,0.03121112750773509,0.03121112750773509,1
command,slot1,exfil,permission,A,12,sucat,p_tool,0.4030501286606075,0.4030501286606075,0.4030501286606075,1
command,slot1,exfil,permission,A,12,sucat,log_user_tool,-2.558286260827473,-2.558286260827473,-2.558286260827473,1
command,slot1,exfil,permission,A,12,uat,p_user,0.05300327532325459,0.05300327532325459,0.05300327532325459,1
command,slot1,exfil,permission,A,12,uat,p_tool,0.8802805049497573,0.8802805049497573,0.8802805049497573,1
command,slot1,exfil,permission,A,12,uat,log_user_tool,-2.8098869021105517,-2.8098869021105517,-2.8098869021105517,1
command,slot1,exfil,permission,A,16,sucat,p_user,0.8883559528860401,0.8883559528860401,0.8883559528860401,1
command,slot1,exfil,permission,A,16,sucat,p_tool,0.0927335656256144,0.0927335656256144,0.0927335656256144,1
command,slot1,exfil,permission,A,16,sucat,log_user_tool,2.259642014751567,2.259642014751567,2.259642014751567,1
command,slot1,exfil,permission,A,16,uat,p_user,0.8953298099461149,0.8953298099461149,0.8953298099461149,1
command,slot1,exfil,permission,A,16,uat,p_tool,0.10297019231194234,0.10297019231194234,0.10297019231194234,1
command,slot1,exfil,permission,A,16,uat,log_user_tool,2.162752601810361,2.162752601810361,2.162752601810361,1
command,slot1,exfil,prohibition,A,8,sucat,p_user,0.01844626219683617,0.01844626219683617,0.01844626219683617,1
command,slot1,exfil,prohibition,A,8,sucat,p_tool,0.23224606633674902,0.23224606633674902,0.23224606633674902,1
command,slot1,exfil,prohibition,A,8,sucat,log_user_tool,-2.5329356813519244,-2.5329356813519244,-2.5329356813519244,1
command,slot1,exfil,prohibition,A,8,uat,p_user,0.07310171248620284,0.07310171248620284,0.07310171248620284,1
command,slot1,exfil,prohibition,A,8,uat,p_tool,0.9165678825534758,0.9165678825534758,0.9165678825534758,1
command,slot1,exfil,prohibition,A,8,uat,log_user_tool,-2.528784338593205,-2.528784338593205,-2.528784338593205,1
command,slot1,exfil,prohibition,A,12,sucat,p_user,0.035014373627820505,0.035014373627820505,0.035014373627820505,1
command,slot1,exfil,prohibition,A,12,sucat,p_tool,0.4196204379750568,0.4196204379750568,0.4196204379750568,1
command,slot1,exfil,prohibition,A,12,sucat,log_user_tool,-2.4835919313040336,-2.4835919313040336,-2.4835919313040336,1
command,slot1,exfil,prohibition,A,12,uat,p_user,0.0553857084892339,0.0553857084892339,0.0553857084892339,1
command,slot1,exfil,prohibition,A,12,uat,p_tool,0.8847017102554197,0.8847017102554197,0.8847017102554197,1
command,slot1,exfil,prohibition,A,12,uat,log_user_tool,-2.770928946669808,-2.770928946669808,-2.770928946669808,1
command,slot1,exfil,prohibition,A,16,sucat,p_user,0.8803565129027014,0.8803565129027014,0.8803565129027014,1
command,slot1,exfil,prohibition,A,16,sucat,p_tool,0.09998578655335014,0.09998578655335014,0.09998578655335014,1
command,slot1,exfil,prohibition,A,16,sucat,log_user_tool,2.1752989123089326,2.1752989123089326,2.1752989123089326,1
command,slot1,exfil,prohibition,A,16,uat,p_user,0.8834936893010725,0.8834936893010725,0.8834936893010725,1
command,slot1,exfil,prohibition,A,16,uat,p_tool,0.11509081816919087,0.11509081816919087,0.11509081816919087,1
command,slot1,exfil,prohibition,A,16,uat,log_user_tool,2.038162608988174,2.038162608988174,2.038162608988174,1
command,slot2,marker,neutral,A,8,sucat,p_user,0.019648137595504524,0.019648137595504524,0.019648137595504524,1
command,slot2,marker,neutral,A,8,sucat,p_tool,0.4922187360624472,0.4922187360624472,0.4922187360624472,1
command,slot2,marker,neutral,A,8,sucat,log_user_tool,-3.2209406482175,-3.2209406482175,-3.2209406482175,1
command,slot2,marker,neutral,A,8,uat,p_user,0.03492303798363234,0.03492303798363234,0.03492303798363234,1
command,slot2,marker,neutral,A,8,uat,p_tool,0.9589873333772023,0.9589873333772023,0.9589873333772023,1
command,slot2,marker,neutral,A,8,uat,log_user_tool,-3.312731141065898,-3.312731141065898,-3.312731141065898,1
command,slot2,marker,neutral,A,12,sucat,p_user,0.004739012406268254,0.004739012406268254,0.004739012406268254,1
command,slot2,marker,neutral,A,12,sucat,p_tool,0.5641129613543551,0.5641129613543551,0.5641129613543551,1
command,slot2,marker,neutral,A,12,sucat,log_user_tool,-4.779425756642262,-4.779425756642262,-4.779425756642262,1
command,slot2,marker,neutral,A,12,uat,p_user,0.021294194671888058,0.021294194671888058,0.021294194671888058,1
command,slot2,marker,neutral,A,12,uat,p_tool,0.9582519352436065,0.9582519352436065,0.9582519352436065,1
command,slot2,marker,neutral,A,12,uat,log_user_tool,-3.8066762388677455,-3.8066762388677455,-3.8066762388677455,1
command,slot2,marker,neutral,A,16,sucat,p_user,0.8520869592825572,0.8520869592825572,0.8520869592825572,1
command,slot2,marker,neutral,A,16,sucat,p_tool,0.09622268737681831,0.09622268737681831,0.09622268737681831,1
command,slot2,marker,neutral,A,16,sucat,log_user_tool,2.1810234211219814,2.1810234211219814,2.1810234211219814,1
command,slot2,marker,neutral,A,16,uat,p_user,0.8099803576866785,0.8099803576866785,0.8099803576866785,1
command,slot2,marker,neutral,A,16,uat,p_tool,0.17881372282281519,0.17881372282281519,0.17881372282281519,1
command,slot2,marker,neutral,A,16,uat,log_user_tool,1.5106653882402874,1.5106653882402874,1.5106653882402874,1
command,slot2,marker,permission,A,8,sucat,p_user,0.023661360916836807,0.023661360916836807,0.023661360916836807,1
command,slot2,marker,permission,A,8,sucat,p_tool,0.49325919995705286,0.49325919995705286,0.49325919995705286,1
command,slot2,marker,permission,A,8,sucat,log_user_tool,-3.037191419813903,-3.037191419813903,-3.037191419813903,1
command,slot2,marker,permission,A,8,uat,p_user,0.04089414979486416,0.04089414979486416,0.04089414979486416,1
command,slot2,marker,permission,A,8,uat,p_tool,0.9522262016932169,0.9522262016932169,0.9522262016932169,1
command,slot2,marker,permission,A,8,uat,log_user_tool,-3.1478155973703115,-3.1478155973703115,-3.1478155973703115,1
command,slot2,marker,permission,A,12,sucat,p_user,0.006517744076457651,0.006517744076457651,0.006517744076457651,1
command,slot2,marker,permission,A,12,sucat,p_tool,0.4739563750103116,0.4739563750103116,0.4739563750103116,1
command,slot2,marker,permission,A,12,sucat,log_user_tool,-4.2865869660930365,-4.2865869660930365,-4.2865869660930365,1
command,slot2,marker,permission,A,12,uat,p_user,0.03296918950121229,0.03296918950121229,0.03296918950121229,1
command,slot2,marker,permission,A,12,uat,p_tool,0.9277181148529052,0.9277181148529052,0.9277181148529052,1
command,slot2,marker,permission,A,12,uat,log_user_tool,-3.3371544572326584,-3.3371544572326584,-3.3371544572326584,1
command,slot2,marker,permission,A,16,sucat,p_user,0.7819630076487859,0.7819630076487859,0.7819630076487859,1
command,slot2,marker,permission,A,16,sucat,p_tool,0.16135367012272278,0.16135367012272278,0.16135367012272278,1
command,slot2,marker,permission,A,16,sucat,log_user_tool,1.5782087700454446,1.5782087700454446,1.5782087700454446,1
command,slot2,marker,permission,A,16,uat,p_user,0.7321866154670715,0.7321866154670715,0.7321866154670715,1
command,slot2,marker,permission,A,16,uat,p_tool,0.25644161080320677,0.25644161080320677,0.25644161080320677,1
command,slot2,marker,permission,A,16,uat,log_user_tool,1.0491344201293191,1.0491344201293191,1.0491344201293191,1
command,slot2,marker,prohibition,A,8,sucat,p_user,0.022314213092128436,0.022314213092128436,0.022314213092128436,1
command,slot2,marker,prohibition,A,8,sucat,p_tool,0.49484118272860844,0.49484118272860844,0.49484118272860844,1
command,slot2,marker,prohibition,A,8,sucat,log_user_tool,-3.0990130342841775,-3.0990130342841775,-3.0990130342841775,1
command,slot2,marker,prohibition,A,8,uat,p_user,0.03762527673194806,0.03762527673194806,0.03762527673194806,1
command,slot2,marker,prohibition,A,8,uat,p_tool,0.9572885950406392,0.9572885950406392,0.9572885950406392,1
command,slot2,marker,prohibition,A,8,uat,log_user_tool,-3.236428830164199,-3.236428830164199,-3.236428830164199,1
command,slot2,marker,prohibition,A,12,sucat,p_user,0.005802570220779065,0.005802570220779065,0.005802570220779065,1
command,slot2,marker,prohibition,A,12,sucat,p_tool,0.5574372415430844,0.5574372415430844,0.5574372415430844,1
command,slot2,marker,prohibition,A,12,sucat,log_user_tool,-4.565048964866689,-4.565048964866689,-4.565048964866689,1
command,slot2,marker,prohibition,A,12,uat,p_user,0.02477768964211767,0.02477768964211767,0.02477768964211767,1
command,slot2,marker,prohibition,A,12,uat,p_tool,0.9496771494547526,0.9496771494547526,0.9496771494547526,1
command,slot2,marker,prohibition,A,12,uat,log_user_tool,-3.6461784470827743,-3.6461784470827743,-3.6461784470827743,1
command,slot2,marker,prohibition,A,16,sucat,p_user,0.8068984160820644,0.8068984160820644,0.8068984160820644,1
command,slot2,marker,prohibition,A,16,sucat,p_tool,0.13240534448996186,0.13240534448996186,0.13240534448996186,1
command,slot2,marker,prohibition,A,16,sucat,log_user_tool,1.807329772959108,1.807329772959108,1.807329772959108,1
command,slot2,marker,prohibition,A,16,uat,p_user,0.7636912276347478,0.7636912276347478,0.7636912276347478,1
command,slot2,marker,prohibition,A,16,uat,p_tool,0.22399784953643878,0.22399784953643878,0.22399784953643878,1
