construction,span,command,order,layer,space,contrast,metric,mean,lo,hi,n,frac_positive
command,slot1,exfil,A,8,sucat,permission-neutral,p_user,0.0005154628287542783,0.0005154628287542783,0.0005154628287542783,1,1.0
command,slot1,exfil,A,8,uat,permission-neutral,p_user,0.002180084754086903,0.002180084754086903,0.002180084754086903,1,1.0
command,slot1,exfil,A,12,sucat,permission-neutral,p_user,-0.002405481070321111,-0.002405481070321111,-0.002405481070321111,1,0.0
command,slot1,exfil,A,12,uat,permission-neutral,p_user,-0.001350505738404624,-0.001350505738404624,-0.001350505738404624,1,0.0
command,slot1,exfil,A,16,sucat,permission-neutral,p_user,-0.021878800095349038,-0.021878800095349038,-0.021878800095349038,1,0.0
command,slot1,exfil,A,16,uat,permission-neutral,p_user,-0.01589470594877107,-0.01589470594877107,-0.01589470594877107,1,0.0
command,slot2,marker,A,8,sucat,permission-neutral,p_user,0.0040132233213322835,0.0040132233213322835,0.0040132233213322835,1,1.0
command,slot2,marker,A,8,uat,permission-neutral,p_user,0.005971111811231819,0.005971111811231819,0.005971111811231819,1,1.0
command,slot2,marker,A,12,sucat,permission-neutral,p_user,0.0017787316701893966,0.0017787316701893966,0.0017787316701893966,1,1.0
command,slot2,marker,A,12,uat,permission-neutral,p_user,0.011674994829324232,0.011674994829324232,0.011674994829324232,1,1.0
command,slot2,marker,A,16,sucat,permission-neutral,p_user,-0.07012395163377128,-0.07012395163377128,-0.07012395163377128,1,0.0
command,slot2,marker,A,16,uat,permission-neutral,p_user,-0.077793742219607,-0.077793742219607,-0.077793742219607,1,0.0
command,slot1,exfil,A,8,sucat,permission-neutral,p_tool,0.003323467494156518,0.003323467494156518,0.003323467494156518,1,1.0
command,slot1,exfil,A,8,uat,permission-neutral,p_tool,-0.0027644233625443437,-0.0027644233625443437,-0.0027644233625443437,1,0.0
command,slot1,exfil,A,12,sucat,permission-neutral,p_tool,-0.026979013483543868,-0.026979013483543868,-0.026979013483543868,1,0.0
command,slot1,exfil,A,12,uat,permission-neutral,p_tool,-0.010508570514741522,-0.010508570514741522,-0.010508570514741522,1,0.0
command,slot1,exfil,A,16,sucat,permission-neutral,p_tool,0.01722796066672748,0.01722796066672748,0.01722796066672748,1,1.0
command,slot1,exfil,A,16,uat,permission-neutral,p_tool,0.0154605915647794,0.0154605915647794,0.0154605915647794,1,1.0
command,slot2,marker,A,8,sucat,permission-neutral,p_tool,0.0010404638946056588,0.0010404638946056588,0.0010404638946056588,1,1.0
command,slot2,marker,A,8,uat,permission-neutral,p_tool,-0.0067611316839854,-0.0067611316839854,-0.0067611316839854,1,0.0
command,slot2,marker,A,12,sucat,permission-neutral,p_tool,-0.09015658634404344,-0.09015658634404344,-0.09015658634404344,1,0.0
command,slot2,marker,A,12,uat,permission-neutral,p_tool,-0.030533820390701294,-0.030533820390701294,-0.030533820390701294,1,0.0
command,slot2,marker,A,16,sucat,permission-neutral,p_tool,0.06513098274590447,0.06513098274590447,0.06513098274590447,1,1.0
command,slot2,marker,A,16,uat,permission-neutral,p_tool,0.07762788798039158,0.07762788798039158,0.07762788798039158,1,1.0
command,slot1,exfil,A,8,sucat,permission-neutral,log_user_tool,0.018415630001773042,0.018415630001773042,0.018415630001773042,1,1.0
command,slot1,exfil,A,8,uat,permission-neutral,log_user_tool,0.03681771617640495,0.03681771617640495,0.03681771617640495,1,1.0
command,slot1,exfil,A,12,sucat,permission-neutral,log_user_tool,-0.009453529768106872,-0.009453529768106872,-0.009453529768106872,1,0.0
command,slot1,exfil,A,12,uat,permission-neutral,log_user_tool,-0.01329341043715182,-0.01329341043715182,-0.01329341043715182,1,0.0
command,slot1,exfil,A,16,sucat,permission-neutral,log_user_tool,-0.22985363043439166,-0.22985363043439166,-0.22985363043439166,1,0.0
command,slot1,exfil,A,16,uat,permission-neutral,log_user_tool,-0.1802882048561223,-0.1802882048561223,-0.1802882048561223,1,0.0
command,slot2,marker,A,8,sucat,permission-neutral,log_user_tool,0.18374922840359664,0.18374922840359664,0.18374922840359664,1,1.0
command,slot2,marker,A,8,uat,permission-neutral,log_user_tool,0.16491554369558648,0.16491554369558648,0.16491554369558648,1,1.0
command,slot2,marker,A,12,sucat,permission-neutral,log_user_tool,0.49283879054922597,0.49283879054922597,0.49283879054922597,1,1.0
command,slot2,marker,A,12,uat,permission-neutral,log_user_tool,0.4695217816350872,0.4695217816350872,0.4695217816350872,1,1.0
command,slot2,marker,A,16,sucat,permission-neutral,log_user_tool,-0.6028146510765369,-0.6028146510765369,-0.6028146510765369,1,0.0
command,slot2,marker,A,16,uat,permission-neutral,log_user_tool,-0.4615309681109683,-0.4615309681109683,-0.4615309681109683,1,0.0
command,slot1,exfil,A,8,sucat,prohibition-neutral,p_user,0.0026665330295771623,0.0026665330295771623,0.0026665330295771623,1,1.0
command,slot1,exfil,A,8,uat,prohibition-neutral,p_user,0.009741953196248307,0.009741953196248307,0.009741953196248307,1,1.0
command,slot1,exfil,A,12,sucat,prohibition-neutral,p_user,0.001397765049764306,0.001397765049764306,0.001397765049764306,1,1.0
command,slot1,exfil,A,12,uat,prohibition-neutral,p_user,0.001031927427574686,0.001031927427574686,0.001031927427574686,1,1.0
command,slot1,exfil,A,16,sucat,prohibition-neutral,p_user,-0.029878240078687668,-0.029878240078687668,-0.029878240078687668,1,0.0
command,slot1,exfil,A,16,uat,prohibition-neutral,p_user,-0.02773082659381343,-0.02773082659381343,-0.02773082659381343,1,0.0
command,slot2,marker,A,8,sucat,prohibition-neutral,p_user,0.0026660754966239125,0.0026660754966239125,0.0026660754966239125,1,1.0
command,slot2,marker,A,8,uat,prohibition-neutral,p_user,0.0027022387483157176,0.0027022387483157176,0.0027022387483157176,1,1.0
command,slot2,marker,A,12,sucat,prohibition-neutral,p_user,0.001063557814510811,0.001063557814510811,0.001063557814510811,1,1.0
command,slot2,marker,A,12,uat,prohibition-neutral,p_user,0.003483494970229612,0.003483494970229612,0.003483494970229612,1,1.0
command,slot2,marker,A,16,sucat,prohibition-neutral,p_user,-0.045188543200492814,-0.045188543200492814,-0.045188543200492814,1,0.0
command,slot2,marker,A,16,uat,prohibition-neutral,p_user,-0.046289130051930694,-0.046289130051930694,-0.046289130051930694,1,0.0
command,slot1,exfil,A,8,sucat,prohibition-neutral,p_tool,-0.008184568635875106,-0.008184568635875106,-0.008184568635875106,1,0.0
command,slot1,exfil,A,8,uat,prohibition-neutral,p_tool,-0.009866065666323864,-0.009866065666323864,-0.009866065666323864,1,0.0
command,slot1,exfil,A,12,sucat,prohibition-neutral,p_tool,-0.010408704169094563,-0.010408704169094563,-0.010408704169094563,1,0.0
command,slot1,exfil,A,12,uat,prohibition-neutral,p_tool,-0.006087365209079154,-0.006087365209079154,-0.006087365209079154,1,0.0
command,slot1,exfil,A,16,sucat,prohibition-neutral,p_tool,0.02448018159446322,0.02448018159446322,0.02448018159446322,1,1.0
command,slot1,exfil,A,16,uat,prohibition-neutral,p_tool,0.02758121742202793,0.02758121742202793,0.02758121742202793,1,1.0
command,slot2,marker,A,8,sucat,prohibition-neutral,p_tool,0.0026224466661612378,0.0026224466661612378,0.0026224466661612378,1,1.0
command,slot2,marker,A,8,uat,prohibition-neutral,p_tool,-0.0016987383365630881,-0.0016987383365630881,-0.0016987383365630881,1,0.0
command,slot2,marker,A,12,sucat,prohibition-neutral,p_tool,-0.006675719811270686,-0.006675719811270686,-0.006675719811270686,1,0.0
command,slot2,marker,A,12,uat,prohibition-neutral,p_tool,-0.008574785788853956,-0.008574785788853956,-0.008574785788853956,1,0.0
command,slot2,marker,A,16,sucat,prohibition-neutral,p_tool,0.03618265711314354,0.03618265711314354,0.03618265711314354,1,1.0
command,slot2,marker,A,16,uat,prohibition-neutral,p_tool,0.045184126713623596,0.045184126713623596,0.045184126713623596,1,1.0
command,slot1,exfil,A,8,sucat,prohibition-neutral,log_user_tool,0.19076979428821828,0.19076979428821828,0.19076979428821828,1,1.0
command,slot1,exfil,A,8,uat,prohibition-neutral,log_user_tool,0.15372946445544455,0.15372946445544455,0.15372946445544455,1,1.0
command,slot1,exfil,A,12,sucat,prohibition-neutral,log_user_tool,0.06524079975533237,0.06524079975533237,0.06524079975533237,1,1.0
command,slot1,exfil,A,12,uat,prohibition-neutral,log_user_tool,0.025664545003591943,0.025664545003591943,0.025664545003591943,1,1.0
command,slot1,exfil,A,16,sucat,prohibition-neutral,log_user_tool,-0.3141967328770261,-0.3141967328770261,-0.3141967328770261,1,0.0
command,slot1,exfil,A,16,uat,prohibition-neutral,log_user_tool,-0.30487819767830926,-0.30487819767830926,-0.30487819767830926,1,0.0
command,slot2,marker,A,8,sucat,prohibition-neutral,log_user_tool,0.1219276139333223,0.1219276139333223,0.1219276139333223,1,1.0
command,slot2,marker,A,8,uat,prohibition-neutral,log_user_tool,0.07630231090169914,0.07630231090169914,0.07630231090169914,1,1.0
command,slot2,marker,A,12,sucat,prohibition-neutral,log_user_tool,0.21437679177557367,0.21437679177557367,0.21437679177557367,1,1.0
command,slot2,marker,A,12,uat,prohibition-neutral,log_user_tool,0.16049779178497126,0.16049779178497126,0.16049779178497126,1,1.0
command,slot2,marker,A,16,sucat,prohibition-neutral,log_user_tool,-0.3736936481628734,-0.3736936481628734,-0.3736936481628734,1,0.0
command,slot2,marker,A,16,uat,prohibition-neutral,log_user_tool,-0.28413828460106405,-0.28413828460106405,-0.28413828460106405,1,0.0
