[corpus] 249 base texts in 11s: {"dolma3": 187, "c4": 62}
[prompts] 1245 prompts from 249 base texts
[prompts] 1245 prompts from 249 base texts
[prompts] 1245 prompts from 249 base texts
[prompts] 1245 prompts from 249 base texts
[fwd] first prompt 106 tokens, next token '\n\n', peak 12.3 GB
[fwd] 10/1245 prompts, 2657 tokens, 394 tok/s, 0.1 min
[fwd] 20/1245 prompts, 8759 tokens, 409 tok/s, 0.4 min
[fwd] 30/1245 prompts, 9761 tokens, 389 tok/s, 0.4 min
[fwd] 40/1245 prompts, 13548 tokens, 394 tok/s, 0.6 min
[fwd] 50/1245 prompts, 19520 tokens, 406 tok/s, 0.8 min
[fwd] 60/1245 prompts, 23012 tokens, 406 tok/s, 0.9 min
[fwd] 70/1245 prompts, 26894 tokens, 398 tok/s, 1.1 min
[fwd] 80/1245 prompts, 31561 tokens, 398 tok/s, 1.3 min
[fwd] 90/1245 prompts, 35078 tokens, 395 tok/s, 1.5 min
[fwd] 100/1245 prompts, 36955 tokens, 392 tok/s, 1.6 min
[fwd] 110/1245 prompts, 39567 tokens, 390 tok/s, 1.7 min
[fwd] 120/1245 prompts, 45009 tokens, 352 tok/s, 2.1 min
[fwd] 130/1245 prompts, 47566 tokens, 351 tok/s, 2.3 min
[fwd] 140/1245 prompts, 49103 tokens, 349 tok/s, 2.3 min
[fwd] 150/1245 prompts, 55965 tokens, 356 tok/s, 2.6 min
[fwd] 160/1245 prompts, 56547 tokens, 353 tok/s, 2.7 min
[fwd] 170/1245 prompts, 58174 tokens, 348 tok/s, 2.8 min
[fwd] 180/1245 prompts, 59291 tokens, 345 tok/s, 2.9 min
[fwd] 190/1245 prompts, 63793 tokens, 346 tok/s, 3.1 min
[fwd] 200/1245 prompts, 69285 tokens, 348 tok/s, 3.3 min
[fwd] 210/1245 prompts, 73127 tokens, 348 tok/s, 3.5 min
[fwd] 220/1245 prompts, 77509 tokens, 350 tok/s, 3.7 min
[fwd] 230/1245 prompts, 80871 tokens, 349 tok/s, 3.9 min
[fwd] 240/1245 prompts, 85833 tokens, 352 tok/s, 4.1 min
